id,proper,mag,absmag,ci,x,y,z
33956,Muliphein,4.11,-1.55,-0.112,-35.835279,125.471916,-36.514903
33971,,4.92,1.009,0.14,-10.806546,37.753134,-46.115083
34000,Mekbuda,4.01,-4.116,0.899,-109.067807,379.683873,148.25163
34354,Wezen,1.83,-6.633,0.671,-129.733458,421.761488,-218.979855
34389,,3.78,0.62,1.006,-4.22812,13.669876,-40.404484
34404,,4.83,-1.914,-0.179,-50.854474,164.1546,-142.449266
34530,,4.91,0.941,1.02,-18.708565,59.13078,-4.594836
34601,,4.41,-0.556,1.261,-25.971151,80.964075,49.576976
34660,,4.91,-0.953,1.451,-35.409626,109.539726,94.294231
34677,,4.15,-1.205,-0.005,-36.330133,112.038272,-1.012987
34741,,4.49,2.835,0.324,-4.57015,13.949318,-15.609196
34805,,4.87,1.109,-0.003,-12.51457,37.828102,-40.099419
